haskell-cereal 0.5.8.2-1
haskell-charset 0.3.9-4
haskell-citeproc 0.4.1-43
haskell-clock 0.8.2-105
haskell-cmdargs 0.10.21-3
haskell-colour 2.3.6-38
haskell-commonmark 0.2.1-22
haskell-commonmark-extensions 0.2.1.2-29
haskell-commonmark-pandoc 0.2.1.1-26
haskell-comonad 5.0.8-112
haskell-conduit 1.3.4.2-9
haskell-conduit-extra 1.3.5-178
haskell-conduit-parse 0.2.1.0-164
haskell-connection 0.3.1-152
haskell-constraints 0.13-42
haskell-constraints-extras 0.3.1.0-46
haskell-contravariant 1.5.5-2
haskell-cookie 0.4.5-11
haskell-cpphs 1.20.9.1-11
haskell-cryptohash-md5 0.11.101.0-10
haskell-cryptohash-sha1 0.11.100.1-22
haskell-cryptohash-sha256 0.11.102.1-4
haskell-cryptonite 0.29-31
haskell-cryptonite-conduit 0.2.2-429
haskell-data-default 0.7.1.1-177
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-190
haskell-data-default-instances-old-locale 0.0.1-35
haskell-data-fix 0.3.2-16
haskell-dependent-map 0.4.0.0-53
haskell-dependent-sum 0.7.1.0-53
haskell-dependent-sum-template 0.1.0.3-53
haskell-diff 0.4.0-11
haskell-digest 0.0.1.3-1
haskell-direct-sqlite 2.3.26-51
haskell-distributive 0.6.2.1-116
haskell-dlist 1.0-113
haskell-doclayout 0.3.0.2-39
haskell-doctemplates 0.10.0.1-7
haskell-easy-file 0.2.2-18
haskell-echo 0.1.4-3
haskell-ed25519 0.0.5.0-23
haskell-edit-distance 0.2.2.1-121
haskell-either 5.0.1.1-185
haskell-emojis 0.1-125
haskell-enclosed-exceptions 1.0.3-167
haskell-entropy 0.4.1.7-1
haskell-erf 2.0.0.0-23
haskell-errors 2.3.0-63
haskell-extra 1.7.10-12
haskell-fast-logger 3.0.5-38
haskell-file-embed 0.0.14.0-3
haskell-filelock 0.1.1.5-106
haskell-filemanip 0.3.6.3-33
haskell-filepattern 0.1.2-157
haskell-filtrable 0.1.6.0-97
haskell-fingertree 0.1.4.2-145
haskell-floskell 0.10.5-142
haskell-fmlist 0.9.4-6
haskell-foundation 0.0.26.1-31
haskell-fourmolu 0.3.0.0-106
